3001;Arequipa;-16.409047;-71.537451;8
3002;Tacna;-13.531950;-71.967463;6
3003;Arequipa;-8.115683;-79.029766;17
3004;Tacna;-6.766897;-79.841646;3
3005;Lima;-5.200833;-80.632751;19
3006;Lima;-3.749161;-73.250572;12
3007;Lima;-15.843155;-70.019905;7
3008;Junín;-18.005659;-70.247183;11
3009;Lima;-9.526115;-77.528779;5
3010;Tacna;-7.160418;-78.515647;9
3011;Lima;-13.158068;-74.227723;20
3012;Lima;-12.073106;-75.197287;2
3013;Junín;-9.085305;-78.578431;16
3014;Arequipa;-14.067660;-75.728464;13
3015;Tacna;-6.511944;-76.358889;1
3016;Junín;-8.379147;-74.553401;18
3017;Arequipa;-3.566967;-80.450731;10
3018;Tacna;-17.193262;-70.935640;15
3019;Lima;-10.664350;-76.256738;7
3020;Tacna;-6.231950;-77.870216;11
3021;Lima;-9.930620;-76.244478;3
3022;Arequipa;-12.789583;-74.990722;19
3023;Junín;-11.780833;-75.498611;5
3024;Tacna;-10.576325;-75.401306;14
3025;Arequipa;-12.600000;-69.183333;8
3026;Lima;-6.075000;-77.166667;12
3027;Junín;-11.255167;-74.638333;6
3028;Tacna;-9.309417;-76.014444;16
3029;Lima;-5.898194;-76.133361;4
3030;Junín;-5.898194;-76.133361;4
